customer_id,gender,marital_status,seniorcitizen,tenure,auto_renewal,subscription_type,devices_connected,tickets_raised,feedback_sentiment,payment_method,subscription_status,country,language,failed_login_attempts,login_frequency,monthly_usage_hours,server_switch_frequency,streaming_access,average_speed_mbps,connection_success_rate,plan_upgrade_attempts,last_login,unresolved_tickets,discount_used,churn
1000,Male,Married,False,8,off,basic,1,7,negative,card,expired,US,Telugu,13,11,61,4,True,poor,14,7,old,14,False,yes
1001,Male,Single,False,7,off,gold,1,1,positive,upi,expired,India,Hindi,8,4,200,7,True,good,3,4,old,20,True,no
1002,Female,Married,False,4,on,basic,8,10,negative,card,active,Germany,Telugu,6,15,195,1,False,poor,7,0,recent,11,True,no
1003,Male,Single,False,4,on,gold,4,17,negative,upi,expired,Germany,Hindi,45,12,48,7,True,better,7,7,very_old,18,False,yes
1004,Male,Married,False,1,off,premium,3,17,neutral,card,expired,Germany,Telugu,34,13,63,8,False,poor,5,5,recent,4,False,no
1005,Female,Single,False,4,off,gold,7,14,negative,card,cancelled,India,Hindi,47,18,52,7,False,better,14,10,old,9,False,yes
1006,Female,Single,False,5,on,basic,2,16,negative,card,active,Germany,English,18,12,52,8,True,poor,7,2,old,16,False,yes
1007,Female,Married,True,2,off,basic,5,9,negative,upi,active,UK,English,19,23,143,2,False,better,17,0,recent,2,False,yes
1008,Male,Single,True,4,off,basic,3,5,neutral,paypal,expired,Germany,Hindi,46,9,166,10,False,better,4,5,old,15,True,yes
1009,Male,Single,False,9,off,gold,2,2,neutral,card,cancelled,Germany,Telugu,8,8,158,7,False,good,4,6,old,5,True,no
1010,Male,Single,True,4,on,premium,2,15,positive,card,cancelled,US,Telugu,10,11,10,3,True,poor,4,9,very_old,9,True,yes
1011,Female,Single,False,7,on,premium,9,14,positive,card,active,Germany,Hindi,35,19,43,5,True,good,15,9,old,8,True,no
1012,Male,Married,True,10,off,premium,6,0,negative,paypal,cancelled,UK,Hindi,27,16,65,6,False,better,16,3,old,3,False,yes
1013,Male,Married,True,9,on,premium,6,19,neutral,paypal,cancelled,Germany,Hindi,4,1,179,7,False,good,10,4,recent,14,False,yes
1014,Male,Married,False,10,on,basic,7,1,neutral,paypal,expired,India,English,36,19,136,3,True,good,3,5,recent,6,True,no
1015,Male,Married,False,3,off,basic,4,2,neutral,paypal,active,UK,English,31,1,130,3,True,better,5,0,recent,0,False,no
1016,Female,Married,True,5,off,premium,3,16,negative,upi,expired,UK,Telugu,46,23,143,5,False,better,15,9,recent,11,True,no
1017,Male,Married,False,6,on,premium,7,15,neutral,upi,cancelled,Germany,Hindi,26,15,130,1,False,poor,3,0,very_old,20,False,yes
1018,Male,Single,False,8,off,basic,6,17,negative,upi,cancelled,Germany,Telugu,29,8,69,2,True,poor,16,9,recent,18,False,yes
1019,Male,Married,False,7,off,basic,3,3,neutral,upi,expired,India,Telugu,20,7,79,1,False,better,15,3,very_old,16,True,no
1020,Male,Married,False,7,off,basic,5,2,negative,upi,active,Germany,English,48,0,165,7,False,good,16,5,old,1,False,no
1021,Male,Married,True,10,on,gold,6,6,negative,paypal,active,Germany,Hindi,44,15,137,5,True,good,14,3,very_old,19,False,no
1022,Male,Married,False,4,on,premium,3,9,neutral,paypal,active,India,English,35,9,11,10,False,better,8,9,recent,20,False,no
1023,Female,Single,False,4,on,premium,5,11,negative,upi,active,India,Telugu,2,6,112,6,False,better,7,3,recent,19,False,yes
1024,Female,Married,False,9,off,basic,7,4,negative,card,active,US,English,21,1,120,1,True,good,4,8,recent,4,False,yes
1025,Female,Single,True,5,on,gold,3,19,negative,paypal,cancelled,Germany,English,45,9,93,2,True,poor,18,3,old,0,True,yes
1026,Male,Married,False,4,on,premium,2,5,neutral,paypal,expired,UK,Telugu,36,6,140,3,False,poor,8,9,very_old,2,False,yes
1027,Female,Single,True,8,on,gold,5,15,neutral,upi,active,Germany,Telugu,4,10,159,9,True,better,5,4,old,13,False,no
1028,Male,Single,False,9,off,gold,6,2,negative,card,expired,Germany,Telugu,50,9,42,4,False,better,1,10,very_old,12,False,yes
1029,Female,Single,False,4,on,premium,1,5,positive,paypal,cancelled,Germany,Telugu,1,17,152,3,False,poor,3,8,very_old,0,False,no
1030,Male,Single,True,2,on,gold,7,13,negative,card,expired,Germany,Telugu,16,5,138,2,False,poor,1,8,very_old,16,True,yes
1031,Female,Single,False,7,off,basic,1,16,positive,paypal,cancelled,Germany,English,10,11,157,3,True,poor,3,2,old,11,False,no
1032,Male,Married,False,10,off,gold,1,16,negative,card,active,UK,English,36,0,65,8,False,good,17,4,recent,17,True,yes
1033,Male,Single,False,3,on,gold,8,6,positive,paypal,expired,US,English,23,24,179,8,True,better,1,4,very_old,5,True,no
1034,Male,Single,True,7,off,basic,6,20,neutral,card,active,India,Telugu,42,24,21,8,True,good,19,3,recent,7,True,no
1035,Female,Married,False,10,off,gold,8,9,neutral,card,cancelled,UK,Hindi,44,9,174,8,True,better,5,7,old,17,True,yes
1036,Male,Married,False,9,off,basic,8,18,positive,card,cancelled,India,English,17,9,182,1,False,better,17,1,old,17,True,yes
1037,Female,Married,False,8,on,basic,7,8,positive,upi,expired,India,English,27,15,65,9,True,better,11,5,recent,0,False,yes
1038,Male,Married,True,5,off,premium,1,10,neutral,card,active,India,Telugu,24,21,144,7,False,better,6,7,very_old,0,False,no
1039,Male,Single,True,4,off,basic,3,19,positive,upi,active,Germany,English,31,0,85,6,False,good,8,0,very_old,7,False,no
1040,Female,Married,False,4,off,gold,1,10,negative,card,active,US,Hindi,29,3,149,6,True,good,15,5,very_old,2,False,no
